告警ID,告警级别,告警名称,告警对象,对象类型,产生时间,清除时间,清除类型
15.1000101,次要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/13 19:05:00 GMT+08:00,2018/06/13 19:06:00 GMT+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/13 14:31:00 GMT+08:00,2018/06/13 14:32:00 GMT+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/13 12:13:00 GMT+08:00,2018/06/13 12:14:00 GMT+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/13 06:43:00 GMT+08:00,2018/06/13 06:44:00 GMT+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/13 03:58:00 GMT+08:00,2018/06/13 03:59:00 GMT+08:00,正常清除
15.1000036,次要,主机逻辑磁盘占用率超过阈值,CNA03,主机,2018/06/13 02:55:00 GMT+08:00,2018/06/13 02:56:00 GMT+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/12 22:28:00 GMT+08:00,2018/06/12 22:29:00 GMT+08:00,正常清除
15.1000036,次要,主机逻辑磁盘占用率超过阈值,CNA05,主机,2018/06/12 18:48:00 GMT+08:00,2018/06/12 18:49:00 GMT+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/12 01:24:00 GMT+08:00,2018/06/12 01:25:00 GMT+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/11 19:54:00 GMT+08:00,2018/06/11 19:55:00 GMT+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/11 03:24:00 GMT+08:00,2018/06/11 03:25:00 GMT+08:00,正常清除
15.1000036,次要,主机逻辑磁盘占用率超过阈值,CNA001,主机,2018/06/11 01:42:00 GMT+08:00,2018/06/11 01:49:00 GMT+08:00,正常清除
15.1000036,次要,主机逻辑磁盘占用率超过阈值,CNA08,主机,2018/06/10 18:28:00 GMT+08:00,2018/06/10 18:32:00 GMT+08:00,正常清除
15.1000036,次要,主机逻辑磁盘占用率超过阈值,CNA05,主机,2018/06/09 06:45:00 GMT+08:00,2018/06/09 06:49:00 GMT+08:00,正常清除
